title,author,litres mark,litres votes,livelib mark,livelib votes,avg_word_len,avg_sent_len,avg_words_per_par,comma_freq,colon_freq,dash_freq,A1 voc,A2 voc,B1 voc,B2 voc,C1 voc,C2 voc,unknown voc,TTR,TTR-root,TTR-log,TTR-corrected,TTR-hdd,TTR-mtld,FKD-oborneva,FRE-oborneva,FKD-soloviev,FRE-soloviev
Боевое безумие, Сергей Александрович Ли,4.5,8,5.0,1,5.397236317272156,11.659693724351916,32.47270194986073,88.52685293625565,0.7389437287379399,0.1254810105404049,0.61,0.13,0.11,0.07,0.02,0.02,0.05,0.1839470907640443,62.805743482138375,0.8548720625479118,44.41036711368286,0.9356218080016,301.2997578497073,9.3586091332114,54.853493888175166,5.337244387693259,89.16785321292875
Итрим. Нижний Мир (СИ), Дмитрий Колотилин,4.3,1249,4.5,128,5.326572936045625,10.892886614952962,17.897616468039004,111.7555311651551,6.1001675235399455,0.0924267806596961,0.58,0.12,0.11,0.07,0.03,0.02,0.07,0.2725718090741245,70.06633180946507,0.882881244700686,49.544378355339454,0.9381230879018452,322.7123794762287,8.958569304365014,55.9506889965804,5.049645464383884,91.24137526910737
Темный Эвери. Путь смерти, Иван Суббота,4.7,149,4.4,86,5.117597563233091,8.062753858651503,24.80690085221368,73.97319611986926,2.854967643700038,0.0,0.62,0.12,0.1,0.07,0.02,0.02,0.05,0.1716018970053458,59.28243290106676,0.8492206253599051,41.91901030958079,0.9288984047525876,224.51184598253087,6.6925639860278,65.78310758769601,3.4477858215864874,102.5631600248214
Возвращение Ангелов. Начало, Максим Некрасов,4.7,356,4.4,2241,5.191472258940374,9.967844522968198,29.916313559322035,83.77846499859432,0.5763283666010683,0.0,0.6,0.12,0.11,0.07,0.02,0.03,0.06,0.2645621613965511,62.8756898789084,0.8784757577602821,44.4598266851585,0.9359063476424468,355.623599884379,7.63693427570843,63.29812374601707,4.127509459077325,97.65590295749212
Временщик. Вратарь (СИ), Дмитрий Билик,4.8,374,4.3,61,5.188924319105988,8.116938341601701,26.405674846625768,83.90485583870449,1.1927426199050393,0.0,0.63,0.1,0.1,0.09,0.03,0.01,0.04,0.210060116748468,55.12467368505086,0.8599306083120937,38.97903057339509,0.9306840239873146,343.2371275847668,6.697793055895801,65.85265999002362,3.452176643668436,102.5262327671991
Галактиона. Начало игры, Василий Михайлович Маханенко,4.6,388,4.0,113,5.536298624562942,12.328984855300645,36.54115044247788,88.02551298087481,2.43480917779836,0.0,0.57,0.15,0.1,0.06,0.02,0.02,0.08,0.2030563190971507,58.35281839757289,0.8591826543913692,41.26167359027092,0.9393149458746394,372.1722210716724,10.133645300672663,50.90519411198224,5.880718330687001,85.36403110446044
Мир осколков. В небесах, Никита Семин,5.0,1,None,None,5.125389122871269,10.063865546218487,19.062355658198616,64.25491765099308,1.6601177608713826,0.035829879731037,0.64,0.13,0.09,0.06,0.02,0.01,0.06,0.1879694693481948,48.30193633333755,0.8493880358593219,34.15462672574387,0.9295483272603328,281.2420621381804,7.589566176781329,63.89704725221736,4.096985733059148,97.84650787976784
Хан. Рождение легенды, Дмитрий Серебряков,4.0,91,3.8,4,5.256072982806592,11.635553713871335,38.49487354750513,92.53685049028246,2.7280994240679,0.0,0.62,0.13,0.09,0.05,0.02,0.01,0.09,0.1645211122554068,55.215403024925415,0.8448478932682509,39.04318590487297,0.9372030147768972,295.8409289240818,8.897567758100848,58.15095162111791,5.021092821487285,91.31951821435838
Беглецы. Тетралогия, Виктория Гетто,3.9,67,3.2,7,5.424186961836573,7.882357609587048,19.762273901808783,86.7739478687964,8.294778071943341,32.806080419453615,0.58,0.12,0.12,0.05,0.02,0.02,0.08,0.1561326574401888,85.2707327105238,0.8526824957235118,60.29551333635693,0.9466589099771766,469.0215934357857,7.541164797087173,59.29738847586216,4.026565786184708,98.65152099742754
Файролл. Квадратура круга. Том 1, Андрей Васильев,4.7,1257,4.2,59,4.8542270444208375,9.284799847138624,26.50503127549633,91.37492043284531,1.2651177593889242,0.0079567154678548,0.68,0.1,0.09,0.05,0.01,0.01,0.05,0.2007203028966026,62.661715307381606,0.8602057353045072,44.30852381463042,0.922992317577772,267.0789057618256,6.366730720513761,70.904239268252,3.245357903212591,103.75703916199777
Мутант. Новая колония., Виктор Казначеев,4.5,3259,4.3,15488,5.182517115422472,11.01222435282838,22.96727454409193,104.54705203086036,3.874282462805215,0.0,0.62,0.14,0.11,0.05,0.02,0.02,0.04,0.2017881615871565,61.18475278829627,0.8599566819230333,43.26415360182681,0.9296768474413024,358.3401299104803,8.371015688852506,60.43285750131093,4.648846913020071,93.95069770835828
Свободные Миры. Змеиные сети, Анатолий Натанович Арсеньев,4.2,50,4.0,2,5.152520325203252,8.688592369855291,20.950982606731426,105.66242870240404,4.048648692505537,0.0,0.65,0.11,0.09,0.06,0.03,0.01,0.05,0.2090566037735849,63.66794756523735,0.8631582137972111,45.02003746760887,0.9290767715725644,314.8837161084799,7.105883710444076,64.26256229893704,3.742019430549382,100.46611112078511
Зеркала Арона. Посвященный, Алексей Евгениевич Федоров,4.6,7,None,None,5.289950600472265,8.802868748413303,23.137770382695507,80.2860357099099,1.4702770135555083,0.0,0.61,0.11,0.1,0.06,0.02,0.02,0.08,0.2434955198550245,64.20575637079253,0.8732986380029848,45.400325720998765,0.942230059454283,402.4404950366781,7.386667071202211,62.491040206771146,3.9363437278172473,99.1279888833894
Инферно, Дмитрий Рус,4.8,944,4.5,901,5.753927013385346,12.668860473862354,27.130312750601444,76.87847306112587,8.117902875090602,25.513409035999032,0.49,0.11,0.13,0.11,0.02,0.04,0.1,0.3423880111730192,89.0623548691889,0.9036340368099808,62.9765950764462,0.9495547890308602,980.3481722386678,11.02055914256528,45.31023130093513,6.494538633368959,81.13719833631892
Огнев. Друг мой враг 1. Нереальный, Антон Огнев,4.2,42,None,None,4.92715190946794,8.862875799210991,24.163031423290203,71.83670492122155,0.9968877650262596,0.0486286714646955,0.64,0.13,0.1,0.06,0.02,0.01,0.04,0.2161686632701458,55.26524263353858,0.8618560253057619,39.07842783009502,0.9254277173715922,255.073276910432,6.42504232742586,69.51687463374961,3.278040187960324,103.59851770739456
Второй шанс для свиданий, Тигра Белая,4.9,11,3.0,1,3.310675575969822,13.703204764605786,32.678716216216216,82.89937534788794,5.615684334219804,0.0,0.48,0.05,0.04,0.08,0.03,0.02,0.3,0.1198606415862874,37.27820111742809,0.8152014994981748,26.35966880056933,0.9273066346316564,190.1055680609324,3.288706609281217,102.91178100482972,1.2098744157243129,116.9519709666424
Затерянные среди звезд, Александр Анатольевич Берг,4.7,1131,4.3,592,5.26133535454093,12.271268501867478,34.48254460822343,55.07308966980556,0.6008656220367466,0.0,0.64,0.1,0.1,0.06,0.01,0.03,0.07,0.1848902087832973,55.12581492878155,0.8518683503498445,38.97983755457605,0.9323716572071002,235.39807727741413,9.181088700474664,57.53175617682203,5.226115829784517,89.83139707286652
Предел битвы. Книга,1,4.8,7,5.0,1,5.429106173631721,23.55103969754253,70.57357075913777,81.66820255782068,2.01164280416264,0.0,0.6,0.14,0.11,0.07,0.01,0.03,0.05,0.2053597514010252,56.35320040304236,0.8590297424125474,39.84773014655574,0.9366084899289984,397.9660228388192,15.132899707023174,40.71168343842825,9.501292601677866,59.03951332715002
Дальше. Книга 2 (СИ), Михаил Владимирович Савич,4.7,560,4.7,1651,4.878042048120716,9.654100529100528,33.13790504898267,66.47517439474764,1.0818069907113814,0.0,0.72,0.1,0.08,0.04,0.01,0.01,0.04,0.2328421339882657,48.8269455311906,0.8636847479872038,34.52586428973106,0.9146990052983396,227.6176338786464,6.7171281465586254,69.21383435430937,3.491777373995401,102.0262319505344
Молодая гвардия, Александр Александрович Фадеев,4.6,142,4.3,1949,5.068032240914674,15.631192135153192,36.31482300884956,113.95989104761532,3.4671113436645755,0.0293408576332686,0.66,0.1,0.08,0.06,0.02,0.02,0.07,0.1769859208129496,71.70507642794199,0.8557949733660418,50.70314578769744,0.9227365387435332,226.32496544471527,10.311982280684116,57.1241959968097,6.0594244396581,83.65418017831199
Гремя огнём. сверкая блеском стали, А. Лукьянов,4.1,171,4.1,10,5.817451753842888,9.569810682893849,678.9642857142857,71.86158980995845,6.280226142633335,0.0,0.49,0.13,0.13,0.08,0.03,0.03,0.12,0.3289323724861045,78.55425709558536,0.898469182579784,55.54624788335986,0.9453487043179826,451.06013126863286,9.786650522480889,47.152150000061454,5.595840104133211,87.71350151503529
Хардкор, Владимир Венгловский,3.8,118,3.2,34,5.206969085924013,8.194003318321878,21.98638378720709,85.09813906632274,1.870897034240737,0.0,0.57,0.13,0.13,0.07,0.02,0.01,0.06,0.2316189708063888,61.031928435109656,0.8687974342095351,43.156090465358105,0.935718449359999,389.0058514338604,6.799483302573023,65.33894214878177,3.5235168548995137,102.02663762811235
Княжна Тараканова (сборник), Григорий Петрович Данилевский,4.7,3,4.1,386,5.117771837755653,11.262885530945974,28.20896551724137,109.41190391669625,3.242219855638386,0.0236658383623239,0.59,0.11,0.1,0.06,0.03,0.03,0.08,0.2101862944038334,85.01821262678621,0.8700767889854067,60.116954672760286,0.9303259207190412,336.20567058443146,8.228017131849075,62.09676460566564,4.555614243837768,94.54299233139578
Двенадцать стульев. Золотой теленок, Илья Ильф & Евгений Петров,4.4,63,4.6,25076,5.597453252849071,8.882799782962561,21.375149083812207,82.67269775725386,4.373591388359155,31.454396444388408,0.6,0.12,0.1,0.06,0.01,0.02,0.09,0.2251766484227185,99.98020692507754,0.8777141858878866,70.69668230115654,0.9420161543283776,414.4495262205157,8.56749997287783,54.2761720193061,4.747816956981472,93.59006939533292
Месть нуба, Серж Винтеркей,4.8,1537,4.0,35,5.315618347203406,14.64774011299435,54.06217616580311,102.21688498427795,1.753914706021774,0.0,0.6,0.11,0.12,0.08,0.02,0.02,0.05,0.2458501054245735,56.15401545905315,0.8708341650594583,39.7068851219507,0.932476016491856,292.56781575317905,10.500950468757068,53.534327899498834,6.172157367982374,83.03436597726099
Серый город, Элиан Тарс,4.6,89,None,None,5.297199892818864,8.553412462908012,21.817653890824623,78.37813193382033,4.143828330006788,0.0,0.55,0.14,0.12,0.07,0.03,0.02,0.07,0.2287330316742081,62.69955833484488,0.8686037656252119,44.33528287597033,0.9416226554216314,460.2602880549275,7.132742719018932,63.74477071388856,3.757985936825916,100.37889729682152
Заханд. Финал. [СИ], Алексей Владимирович Андриенко,4.7,24,3.4,3,5.174010637778753,9.32805907172996,33.357911733046286,67.5727437228408,0.9509846653722708,0.0,0.66,0.11,0.1,0.07,0.01,0.02,0.03,0.2147178883170106,53.4552678201389,0.8605806186223542,37.79858236576325,0.9342311344583594,351.40046973991605,7.42460235528171,63.37739916128348,3.971071594445915,98.81538932919815
Эрта. Время сирот, Николай Побережник,4.5,74,4.2,14,5.0771854101723815,15.303437055114909,22.37666567959728,107.7152833284254,0.7992932564889992,48.52551428210845,0.61,0.12,0.12,0.07,0.02,0.02,0.05,0.2177698965143053,59.86335621262317,0.8642972822297404,42.32978512253168,0.9223263784810012,294.23118368349066,9.823571256144652,59.864669607908965,5.718838398090613,86.02171912212498
Система Возвышения. Метаморф!, Кин,5.0,1,None,None,4.961006367836184,15.002051473330846,56.27793296089386,95.89165331479188,0.9169966847042936,1.168918850831847,0.68,0.13,0.08,0.04,0.03,0.01,0.04,0.1685196674525375,47.840000038387466,0.8423756441989864,33.827988439108466,0.9220108540777114,224.04010087260104,9.557631478898491,61.011157906694166,5.530787083221108,87.3513231343959
Проект «Апокалипсис», Иван Магазинников,4.3,103,3.9,11,5.230061571894241,12.568971759594495,19.02709359605912,86.9084119043777,5.152262615551304,0.0,0.58,0.14,0.11,0.07,0.03,0.02,0.04,0.2370658036677454,62.50854802386454,0.8708977933418142,44.20021818979958,0.9311311629572232,365.376837640648,9.306846684599112,57.26367787210992,5.317104887992263,89.17055962771495
Эпоха справедливости. Книга вторая. Рассвет., Андрей Мороз,4.4,18,4.0,1,5.272120094141594,8.087726481727914,34.14113077255071,51.41408858671601,3.992839039304824,0.0,0.57,0.1,0.12,0.07,0.02,0.03,0.09,0.2826496428797168,79.49693934452816,0.8879688215886331,56.212824894091504,0.9283972275657512,427.53744109018135,7.303967766714148,61.437648220929134,3.867252342252254,99.7065479430276
Вызов. Книга 2 (гл. 1,33),4.7,2868,4.6,5963,5.606515176335681,11.86469286109574,20.814155031295137,97.35778898065716,0.017876935178233,64.92902856734241,0.57,0.11,0.14,0.06,0.02,0.02,0.09,0.2581712197265851,53.679129867839855,0.8731410388720743,37.956876737742896,0.9400402460308688,347.46889658964847,10.09776931943609,50.13743704364444,5.848406234483354,85.6514078246532
Наследие древних, Милослав Князев,4.4,130,4.0,16,5.19315366097117,10.34593023255814,37.19279201042119,91.8547149434434,0.8336649046022092,0.0,0.63,0.12,0.11,0.05,0.03,0.01,0.05,0.1827330570311132,53.48025625079767,0.8503507225720052,37.81625185453328,0.9226097965973996,319.7114781359453,8.08186906957754,61.03886553730516,4.439564047765549,95.47132923000112
Даркнет. Игра реальности, Антон Дмитриевич Емельянов & Сергей Анатольевич Савинов,4.2,185,4.3,33,5.169848984551293,12.22295972243174,34.06968933669186,97.2319742086057,3.036026859442835,0.0,0.65,0.11,0.1,0.04,0.02,0.01,0.06,0.2220716169258446,63.26274322409338,0.8668841538804241,44.73351473021975,0.9263672282236454,323.3315179104402,8.886958850384975,59.50463392790536,5.023436544739409,91.21940685080784
Верравия. Ключ Отца, Дмитрий Билик,4.4,64,None,None,5.212579893970173,8.786890574214517,23.620820005815645,95.96421092708928,3.5884256615267467,0.0095183704549781,0.62,0.11,0.08,0.06,0.03,0.02,0.09,0.2407302540870592,68.6110786875738,0.8740318336694884,48.515359004507246,0.9375872149628556,385.9812494139973,7.143655771390851,64.18069594967238,3.769338320459516,100.2677829767526
Level Up. Нокаут 2, Данияр Саматович Сугралинов & Максим Александрович Лагно,4.3,24,4.6,29,5.305668488727216,9.336711609809068,17.422259696458685,76.46517382906808,9.626991791405118,0.0,0.61,0.12,0.11,0.05,0.01,0.02,0.08,0.1895483671138471,60.92557486959371,0.8559519299071455,43.080887137978415,0.9363509119778454,325.14974359878534,7.899668922534961,60.02441302085663,4.297177804026552,96.5930254725745
Хроники Реликта. Том 2, Василий Головачёв,4.7,51,4.7,3,5.629499956967036,13.345199816260909,26.073028673835125,93.38288600280822,3.6841098171959263,26.287349785610143,0.54,0.14,0.12,0.06,0.03,0.01,0.1,0.1513325887103703,81.63197419683323,0.8499104684901664,57.72252251622605,0.9402131947667234,501.3875477562267,11.006788912796193,46.95254803628399,6.4967170128314375,81.02069105495477
Новая Земля. Мое начало игры," Alevolva, Трощенко Илья",4.6,321,4.5,559,4.947152966345758,12.64448472294148,26.026497085320614,92.96882780599542,5.128971218006175,0.0,0.65,0.12,0.1,0.04,0.02,0.02,0.06,0.2157517510995276,47.81323618675685,0.8580219499525799,33.80906353812979,0.9317982085311156,223.0537298550292,8.248319155098205,65.08912854500988,4.593153890058064,94.08085441857484
